3,4,5,6,9,10,17,18
4,6,8,11,12,19,21,22
3,7,10,14,16,19,21,24
3,4,5,10,11,13,17,23
6,8,9,11,13,15,20,24
1,2,5,7,15,17,20,23
5,10,11,13,17,19,20,22
1,4,6,10,11,16,19,22
7,8,9,10,15,17,19,24
1,3,5,11,14,19,20,22
1,3,4,5,13,15,18,19
1,2,9,14,17,19,20,24
2,4,5,10,11,12,15,22
2,11,12,13,15,16,18,22
1,3,7,8,9,13,17,20
1,6,7,8,9,11,18,19
3,5,8,10,12,18,21,23
2,5,7,11,12,14,20,24
3,4,10,13,17,19,20,21
1,7,9,11,15,18,21,22
1,7,8,13,14,16,19,20
5,6,8,11,13,18,19,20
1,3,12,13,14,16,21,24
6,7,10,14,15,18,20,24
1,3,6,7,8,11,17,23
2,5,8,10,11,15,19,21
2,3,6,7,14,15,17,19
9,12,14,16,18,20,21,22
3,5,7,8,10,11,19,24
4,6,13,14,15,16,19,20
2,3,5,15,16,17,18,22
4,6,7,9,11,12,23,24
3,7,8,9,17,19,20,21
1,4,6,8,9,12,14,20
4,10,12,15,21,22,23,24
2,3,7,12,19,21,22,24
3,6,7,12,16,17,21,22
2,4,6,7,8,16,17,20
5,6,9,11,14,21,22,24
3,5,8,10,17,19,20,24
1,8,9,10,13,16,22,23
1,2,5,7,9,11,16,21
1,3,4,15,19,20,21,23
1,3,5,15,16,18,22,23
4,8,9,13,17,18,21,23
2,6,7,11,12,13,17,21
1,2,4,8,11,14,20,23
10,12,13,14,18,22,23,24
1,5,6,8,10,18,23,24
2,7,11,15,16,18,22,24
8,11,15,16,21,22,23,24
1,2,3,4,11,13,14,19
3,5,9,11,13,15,17,24
1,8,9,13,14,18,19,24
7,8,10,12,15,16,17,20
2,3,10,13,17,18,21,24
9,11,12,13,16,17,19,21
2,4,5,10,17,19,23,24
6,7,9,15,19,21,22,23
4,7,9,10,17,19,22,24
4,7,9,13,14,18,21,24
7,13,14,16,17,18,22,24
3,4,9,11,12,13,17,23
1,6,15,16,18,19,21,22
3,4,9,10,11,16,17,21
1,3,8,16,17,19,22,24
1,4,9,10,15,19,20,24
3,5,6,8,10,11,14,16
2,3,12,13,14,15,19,20
4,6,8,9,16,19,22,24
5,7,9,11,13,15,18,21
2,4,5,7,9,12,13,19
3,12,13,14,18,22,23,24
1,5,6,10,14,21,22,24
1,4,6,8,9,15,20,24
1,3,5,12,14,16,17,18
3,6,10,13,16,21,22,23
1,4,5,7,15,17,18,23
1,7,9,16,18,21,22,24
3,4,5,11,12,14,22,24
3,6,8,12,13,17,18,22
2,5,6,9,15,17,18,23
2,5,7,16,17,22,23,24
5,9,10,11,13,14,15,21
1,4,5,6,12,13,16,20
2,4,5,6,10,14,16,24
3,6,7,8,9,13,17,20
1,3,5,7,10,14,22,23
1,3,4,9,11,18,20,21
2,8,10,11,15,18,19,20
1,3,4,8,12,14,18,20
6,9,10,12,13,17,18,20
1,2,3,10,13,16,17,19
3,6,13,17,20,22,23,24
1,2,4,6,9,13,14,19
1,4,8,14,15,21,23,24
7,15,18,19,20,22,23,24
3,8,10,15,16,18,23,24
3,4,10,11,15,18,20,24
1,4,11,12,13,15,16,22
1,2,3,8,10,11,13,19
6,9,10,11,12,16,18,24
5,6,8,9,10,17,18,24
1,4,7,8,9,13,21,24
4,5,11,16,18,20,23,24
3,6,9,10,11,15,22,23
1,3,7,11,18,21,23,24
4,6,10,11,12,14,16,23
5,6,8,9,10,11,16,22
4,5,7,11,13,17,18,24
1,3,5,7,8,10,15,19
3,4,7,10,14,15,17,20
4,9,10,12,20,21,22,24
7,8,9,10,15,16,17,21
1,3,7,8,11,18,20,22
1,2,5,6,8,13,16,18
1,6,8,11,14,15,17,24
3,5,7,14,15,19,23,24
1,3,4,6,10,15,17,20
1,2,3,4,8,13,17,19
3,9,10,15,17,18,21,23
3,5,8,9,11,14,16,22
3,7,11,12,14,16,22,24
6,7,10,13,14,17,18,22
1,7,9,11,12,19,20,21
4,5,6,9,12,13,19,24
1,7,15,17,18,20,22,23
1,2,7,12,15,16,17,24
2,5,7,8,11,16,23,24
7,8,10,11,12,13,20,24
1,8,11,13,14,17,22,24
1,3,4,5,7,13,21,22
4,6,8,10,12,15,17,23
1,2,6,7,9,20,23,24
4,5,6,14,15,20,21,23
2,4,7,12,16,19,21,24
1,3,4,7,9,10,11,18
4,7,9,10,12,14,16,17
1,2,3,5,8,12,21,24
1,2,3,4,6,7,19,21
5,7,13,14,16,19,20,23
2,4,5,6,11,12,13,15
6,13,14,15,16,17,19,23
4,7,10,14,15,17,20,22
1,8,14,19,21,22,23,24
1,7,9,11,16,17,20,21
1,3,4,10,14,16,20,21
5,6,8,9,12,19,20,22
1,4,8,9,10,16,20,22
1,4,12,14,17,18,23,24
3,7,8,10,12,13,15,23
3,5,7,11,12,17,18,20
1,2,6,7,12,13,15,22
1,4,5,6,10,12,16,19
2,4,5,7,8,15,17,18
1,2,5,8,13,18,22,23
4,5,6,9,11,15,18,19
1,3,4,7,13,14,20,24
1,3,9,10,12,15,22,23
3,5,6,10,12,13,21,22
3,10,11,13,15,21,23,24
5,10,11,12,16,19,21,22
2,8,10,11,15,19,21,22
13,15,16,17,19,20,22,24
5,6,12,13,14,17,20,22
4,5,7,15,16,19,20,21
4,6,8,13,14,17,20,21
7,8,9,10,13,21,22,24
10,12,13,17,20,21,23,24
3,6,10,11,16,19,21,22
3,6,8,17,18,19,20,22
7,8,10,12,15,18,20,22
1,5,6,12,13,16,20,24
2,7,9,13,15,16,17,24
2,4,6,7,8,13,15,21
1,4,5,6,9,13,16,17
2,3,15,19,20,22,23,24
3,6,9,10,12,20,21,24
1,2,4,7,11,13,18,22
2,5,10,13,14,16,21,23
3,4,6,14,16,19,21,22
1,6,11,12,14,15,19,20
9,11,12,17,19,20,23,24
1,5,7,9,10,15,17,24
2,3,4,8,9,12,15,24
1,4,5,8,13,20,23,24
1,4,5,8,15,17,22,23
2,7,12,13,15,20,23,24
3,8,11,16,17,18,19,22
1,2,12,14,15,17,20,21
5,7,8,10,12,16,22,23
2,5,7,10,18,19,23,24
9,12,14,17,21,22,23,24
1,3,4,8,15,21,22,23
2,6,7,8,9,12,14,21
2,6,7,13,14,19,21,23
7,8,12,13,18,19,20,23
3,7,9,10,11,15,21,23
1,2,4,5,9,11,17,19
7,8,10,11,12,13,19,21
2,4,6,7,10,17,19,20
1,4,5,10,11,19,22,24
6,14,16,17,19,20,21,22
3,4,11,14,16,18,20,22
2,8,12,15,16,17,19,20
5,6,8,10,15,18,19,23
6,7,8,9,13,14,18,19
3,9,10,11,13,18,19,23
3,4,14,15,19,21,22,24
3,8,11,12,15,16,17,24
2,3,7,12,18,20,22,23
4,7,10,12,16,17,20,21
2,4,6,7,11,13,15,23
2,3,5,8,9,17,20,21
8,9,10,13,16,18,19,21
5,7,8,9,13,14,20,23
4,6,7,14,15,16,17,18
2,6,7,10,15,18,22,23
4,5,6,12,16,19,21,22
2,3,8,10,14,17,19,24
3,5,7,11,13,16,18,20
4,6,9,11,13,14,16,17
5,7,9,12,13,14,19,22
4,6,7,10,14,19,21,24
7,10,13,15,16,17,19,21
1,2,8,13,17,18,19,24
2,4,7,9,10,11,14,22
2,7,10,12,16,18,20,22
1,2,3,4,5,7,9,14
3,8,9,11,12,15,18,24
13,16,17,19,20,22,23,24
1,3,5,11,15,17,18,19
3,6,7,8,10,12,14,23
2,3,4,6,10,13,21,22
4,6,9,14,15,18,20,23
4,6,7,8,9,11,18,24
